timeStamp,Price,Open,High,Low,Vol.,Change %
4-Jan-16,"6,867.62","6,894.81","6,912.11","6,862.16",16.55M,-0.39%
31-Dec-15,"6,894.50","6,872.90","6,894.50","6,843.00",16.06M,0.35%
30-Dec-15,"6,870.63","6,847.95","6,870.63","6,839.95",15.75M,0.33%
29-Dec-15,"6,847.74","6,829.27","6,847.74","6,828.51",8.22M,0.28%
28-Dec-15,"6,828.51","6,854.78","6,859.09","6,828.51",4.78M,-0.44%
23-Dec-15,"6,858.64","6,854.33","6,861.93","6,846.27",7.33M,0.06%
22-Dec-15,"6,854.57","6,882.31","6,883.70","6,854.57",5.90M,-0.39%
21-Dec-15,"6,881.75","6,885.12","6,891.73","6,875.49",18.30M,-0.04%
18-Dec-15,"6,884.69","6,859.14","6,887.30","6,858.92",17.25M,0.36%
17-Dec-15,"6,859.99","6,834.00","6,859.99","6,833.51",24.37M,0.39%
16-Dec-15,"6,833.51","6,822.52","6,844.40","6,820.51",255.38M,0.19%
15-Dec-15,"6,820.77","6,803.17","6,827.12","6,803.08",12.20M,0.26%
14-Dec-15,"6,803.08","6,832.75","6,839.36","6,802.38",11.04M,-0.43%
11-Dec-15,"6,832.35","6,823.95","6,842.72","6,822.59",21.68M,0.12%
10-Dec-15,"6,823.91","6,841.59","6,842.31","6,819.16",333.11M,-0.26%
9-Dec-15,"6,841.55","6,849.43","6,849.45","6,840.57",19.67M,-0.11%
8-Dec-15,"6,849.09","6,858.66","6,867.86","6,845.66",20.11M,-0.14%
7-Dec-15,"6,858.63","6,870.79","6,873.85","6,854.79",13.36M,-0.16%
4-Dec-15,"6,869.56","6,880.79","6,881.14","6,855.96",6.49M,-0.16%
3-Dec-15,"6,880.66","6,863.73","6,881.99","6,862.79",17.70M,0.26%
2-Dec-15,"6,862.79","6,891.22","6,906.30","6,862.79",39.83M,-0.47%
1-Dec-15,"6,895.19","6,909.32","6,920.00","6,895.19",14.21M,-0.20%
30-Nov-15,"6,909.15","6,954.29","6,961.41","6,909.15",16.64M,-0.75%
27-Nov-15,"6,961.41","6,964.30","6,974.14","6,958.29",14.94M,-0.03%
26-Nov-15,"6,963.37","7,002.46","7,009.99","6,961.45",23.95M,-0.67%
24-Nov-15,"7,009.99","7,056.83","7,058.13","7,004.21",19.43M,-0.65%
23-Nov-15,"7,055.84","7,025.55","7,072.67","7,017.44",37.47M,0.55%
20-Nov-15,"7,017.44","7,021.30","7,024.68","6,997.05",17.11M,-0.04%
19-Nov-15,"7,020.18","6,988.78","7,033.11","6,981.97",32.85M,0.55%
18-Nov-15,"6,981.97","6,978.22","6,983.17","6,974.75",18.91M,0.06%
17-Nov-15,"6,977.95","6,964.96","6,982.70","6,960.85",46.81M,0.17%
16-Nov-15,"6,965.98","7,005.67","7,015.00","6,965.98",30.52M,-0.51%
13-Nov-15,"7,001.81","7,003.47","7,016.37","6,997.63",37.38M,-0.06%
12-Nov-15,"7,006.35","7,017.48","7,019.23","6,997.07",579.80M,-0.18%
11-Nov-15,"7,019.23","7,045.55","7,050.21","7,014.50",26.42M,-0.44%
9-Nov-15,"7,050.21","7,059.68","7,064.88","7,042.89",15.07M,-0.13%
6-Nov-15,"7,059.48","7,033.46","7,076.43","7,017.39",40.85M,0.60%
5-Nov-15,"7,017.39","7,005.12","7,025.35","6,997.51",48.46M,0.20%
4-Nov-15,"7,003.57","7,000.33","7,007.56","6,984.16",15.78M,0.05%
3-Nov-15,"7,000.41","7,029.93","7,037.15","6,998.39",12.18M,-0.41%
2-Nov-15,"7,029.07","7,044.26","7,050.42","7,029.07",15.69M,-0.18%
30-Oct-15,"7,042.06","7,071.12","7,071.62","7,042.06",37.45M,-0.40%
29-Oct-15,"7,070.13","7,096.31","7,107.10","7,070.13",21.56M,-0.34%
28-Oct-15,"7,094.09","7,086.43","7,101.80","7,083.48",31.99M,0.15%
26-Oct-15,"7,083.48","7,084.20","7,090.79","7,079.00",481.35M,0.03%
23-Oct-15,"7,081.49","7,069.04","7,093.50","7,066.56",1.08B,0.18%
22-Oct-15,"7,068.85","7,056.31","7,083.67","7,055.67",778.77M,0.19%
21-Oct-15,"7,055.67","7,046.85","7,064.98","7,041.26",1.06B,0.20%
20-Oct-15,"7,041.26","7,019.66","7,053.68","7,014.51",969.62M,0.29%
19-Oct-15,"7,020.74","7,032.82","7,040.24","7,020.24",1.20B,0.00%
16-Oct-15,"7,020.74","7,032.82","7,040.24","7,020.24",20.54M,-0.14%
15-Oct-15,"7,030.45","7,041.21","7,043.15","7,025.24",47.51M,-0.14%
14-Oct-15,"7,040.32","7,080.31","7,088.36","7,039.69",23.66M,-0.54%
13-Oct-15,"7,078.45","7,094.71","7,116.48","7,078.45",39.34M,-0.30%
12-Oct-15,"7,100.00","7,103.45","7,120.34","7,093.26",52.65M,0.06%
9-Oct-15,"7,096.06","7,084.26","7,112.36","7,084.26",41.96M,0.15%
8-Oct-15,"7,085.65","7,085.88","7,097.08","7,072.59",55.02M,0.00%
7-Oct-15,"7,085.45","7,083.94","7,094.97","7,082.81",23.99M,-0.01%
